route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.009,1378,11024,1.06327,0,11.1851,61,1.22489,0.0765556,2.11351e-06,1.38254e-07,1.97525e-06
XY,0.01,1561,12478,1.08316,0,12.4651,88,1.38644,0.0866528,2.1302e-06,1.54947e-07,1.97525e-06
XY,0.01,1561,12478,1.08316,0,12.4651,88,1.38644,0.0866528,2.1302e-06,1.54947e-07,1.97525e-06
XY,0.01,1435,11477,0.996267,0,11.3129,86,1.27522,0.0797014,2.12052e-06,1.45264e-07,1.97525e-06
XY,0.01,1435,11477,0.996267,0,11.3129,86,1.27522,0.0797014,2.12052e-06,1.45264e-07,1.97525e-06
XY,0.01,1435,11477,0.996267,0,11.3129,86,1.27522,0.0797014,2.12052e-06,1.45264e-07,1.97525e-06
XY,0.011,1577,12625,0.996291,0,11.896,80,1.40278,0.0876736,2.13198e-06,1.5673e-07,1.97525e-06
XY,0.011,1579,12633,0.996922,0,12.0792,65,1.40367,0.0877292,2.1303e-06,1.55049e-07,1.97525e-06
XY,0.011,1579,12633,0.996922,0,12.0792,65,1.40367,0.0877292,2.1303e-06,1.55049e-07,1.97525e-06
XY,0.011,1579,12633,0.996922,0,12.0792,65,1.40367,0.0877292,2.1303e-06,1.55049e-07,1.97525e-06
XY,0.011,1579,12633,0.996922,0,12.0792,65,1.40367,0.0877292,2.1303e-06,1.55049e-07,1.97525e-06
XY,0.012,1745,13945,1.00875,0,12.9582,76,1.54944,0.0968403,2.15123e-06,1.75974e-07,1.97525e-06
XY,0.012,1782,14263,1.03176,0,13.4209,97,1.58478,0.0990486,2.15683e-06,1.81581e-07,1.97525e-06
XY,0.012,1782,14263,1.03176,0,13.4209,97,1.58478,0.0990486,2.15683e-06,1.81581e-07,1.97525e-06
XY,0.012,1782,14263,1.03176,0,13.4209,97,1.58478,0.0990486,2.15683e-06,1.81581e-07,1.97525e-06
XY,0.012,1782,14263,1.03176,0,13.4209,97,1.58478,0.0990486,2.15683e-06,1.81581e-07,1.97525e-06
XY,0.013,1834,14669,0.979501,0,14.0016,97,1.62989,0.101868,2.1599e-06,1.84651e-07,1.97525e-06
