route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.001,156,1251,1.08594,0,7.38462,18,0.139,0.0086875,1.99047e-06,1.52197e-08,1.97525e-06
XY,0.001,156,1251,1.08594,0,7.38462,18,0.139,0.0086875,1.99047e-06,1.52197e-08,1.97525e-06
XY,0.001,156,1251,1.08594,0,7.38462,18,0.139,0.0086875,1.99047e-06,1.52197e-08,1.97525e-06
XY,0.001,141,1128,0.979167,0,7.59574,23,0.125333,0.00783333,1.99035e-06,1.50979e-08,1.97525e-06
XY,0.001,141,1128,0.979167,0,7.59574,23,0.125333,0.00783333,1.99035e-06,1.50979e-08,1.97525e-06
XY,0.001,141,1128,0.979167,0,7.59574,23,0.125333,0.00783333,1.99035e-06,1.50979e-08,1.97525e-06
XY,0.001,141,1128,0.979167,0,7.59574,23,0.125333,0.00783333,1.99035e-06,1.50979e-08,1.97525e-06
XY,0.001,141,1128,0.979167,0,7.59574,23,0.125333,0.00783333,1.99035e-06,1.50979e-08,1.97525e-06
XY,0.001,141,1128,0.979167,0,7.59574,23,0.125333,0.00783333,1.99035e-06,1.50979e-08,1.97525e-06
XY,0.001,141,1128,0.979167,0,7.59574,23,0.125333,0.00783333,1.99035e-06,1.50979e-08,1.97525e-06
XY,0.002,276,2208,0.958333,0,7.69928,28,0.245333,0.0153333,2.00291e-06,2.76572e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
XY,0.002,274,2191,0.950955,0,8.17153,32,0.243444,0.0152153,2.00345e-06,2.82038e-08,1.97525e-06
