route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
ODD_EVEN,0.032,3889,31117,0.844103,0,701.491,2771,3.45744,0.21609,2.37995e-06,4.02779e-07,1.97717e-06
ODD_EVEN,0.033,3921,31351,0.824679,0,863.607,3718,3.48344,0.217715,2.38305e-06,4.05881e-07,1.97717e-06
ODD_EVEN,0.034,3916,31305,0.799249,0,897.623,3179,3.47833,0.217396,2.38143e-06,4.04263e-07,1.97717e-06
ODD_EVEN,0.035,3951,31618,0.784177,0,1059.43,3660,3.51311,0.219569,2.3866e-06,4.0943e-07,1.97717e-06
ODD_EVEN,0.036,3915,31318,0.75516,0,1222.22,5004,3.47978,0.217486,2.39025e-06,4.13076e-07,1.97717e-06
ODD_EVEN,0.037,3969,31760,0.74512,0,1420.31,4572,3.52889,0.220556,2.39395e-06,4.16779e-07,1.97717e-06
ODD_EVEN,0.038,3855,30845,0.70461,0,1447.19,4597,3.42722,0.214201,2.38398e-06,4.06807e-07,1.97717e-06
ODD_EVEN,0.039,3958,31644,0.704327,0,1621.32,4371,3.516,0.21975,2.38832e-06,4.11152e-07,1.97717e-06
ODD_EVEN,0.04,3974,31767,0.689388,0,1727.56,5556,3.52967,0.220604,2.39126e-06,4.1409e-07,1.97717e-06
ODD_EVEN,0.041,3801,30401,0.643653,0,1984.48,5869,3.37789,0.211118,2.37415e-06,3.96982e-07,1.97717e-06
ODD_EVEN,0.042,3832,30650,0.633474,0,1928.36,4976,3.40556,0.212847,2.38044e-06,4.03268e-07,1.97717e-06
ODD_EVEN,0.043,3893,31167,0.629179,0,1942.63,5074,3.463,0.216438,2.38688e-06,4.09713e-07,1.97717e-06
ODD_EVEN,0.044,3993,31933,0.629991,0,1840.66,5218,3.54811,0.221757,2.39469e-06,4.17519e-07,1.97717e-06
ODD_EVEN,0.045,3949,31597,0.60951,0,2207.29,5364,3.51078,0.219424,2.38395e-06,4.06775e-07,1.97717e-06
ODD_EVEN,0.046,3990,31932,0.602582,0,2073.11,4958,3.548,0.22175,2.39472e-06,4.17545e-07,1.97717e-06
ODD_EVEN,0.047,3984,31899,0.589151,0,2232.62,5536,3.54433,0.221521,2.38979e-06,4.12615e-07,1.97717e-06
ODD_EVEN,0.048,4067,32550,0.58865,0,2087.28,5253,3.61667,0.226042,2.40383e-06,4.2666e-07,1.97717e-06
ODD_EVEN,0.049,4031,32243,0.571198,0,2143.88,5585,3.58256,0.22391,2.3949e-06,4.1773e-07,1.97717e-06
ODD_EVEN,0.05,3971,31764,0.551458,0,2420.16,6007,3.52933,0.220583,2.39452e-06,4.17345e-07,1.97717e-06
